ID,oil,gas
2308,191756.87773708752,301884826.14286727
22404,305337.95096706104,248172055.99473292
23397,763463.9478848196,405618568.6030041
25058,47375.15585565895,220874008.31037015
2664,15692.24992810454,110561756.30322936
8511,389777.1231691338,718878901.1839418
5148,132377.04962754657,304430846.4356976
7790,125797.2044050354,249747103.72349533
11311,62775.71667991233,247659528.102341
19043,79005.60796208927,190260551.15586454
10784,95941.15648686796,933016433.3049939
22246,828188.9315472097,129900833.53987184
3268,214155.8478279758,2454681713.920218
15947,667215.7571926991,1548435014.3827713
14977,501924.6657632959,2010415993.3555253
14474,303323.3846214849,2262973426.6925936
28694,1086317.5063079211,450032832.85139555
14054,1526093.4897363198,712925472.074352
26545,82660.81712192023,2811485703.547506
14980,3350849.9802601133,235218488.50262183
17636,7777209.645359067,181038079.64433667
3931,107313.63014621273,9468519866.122025
8387,76794.52421780826,58829782.40895664
8028,99793.80629251305,822666696.6413655
9482,5037796.928526059,576981472.9207647
22572,25074.805775496603,9401087514.498184
15107,5982.450877399848,87793052.17142294
3673,1267882.9456915793,1276803306.7867603
21388,228158.4212128543,417961490.45165193
5937,90887.2904242538,559645551.1946524
27033,235014.41041473465,2050360995.873853
29271,1487550.9247620748,100760723.07678029
21880,296726.57846079516,222486271.2721109
6508,27841.440811287874,543963559.8165823
21457,275834.35631487914,64413628.08217165
20071,128658.69302262628,722726995.6183277
27012,1291898.0096395318,504926870.81373614
10092,222221.1203605757,672235680.0942373
22567,31186.802451286356,2019477762.7958634
12976,474183.70946318255,332504675.1783781
3813,737873.6200339645,446800416.82927275
7337,1217765.730931741,329975264.92763036
24483,24675.26716878103,228804566.30677998
19592,99042.78125517558,861600541.3050977
5121,337717.32029757684,5398241193.759949
14905,141817.20237455211,675450395.7167504
8223,177348.60765508635,238340003.3175685
2868,274503.6209386389,1992199748.7339494
2342,193729.39500293977,3385758869.613268
8832,702354.9860132758,1183632813.8602555
7932,299850.54355900566,529046750.6835369
16557,200231.54123184842,826937915.749737
20604,435510.25073395495,971021730.7135382
12983,538465.8183435734,805005737.8823152
3014,62717.51528488477,24254524.577154927
27331,723469.6719579478,225274015.041306
12124,206591.8579036379,211592375.79789186
3752,572690.160418096,52990123.92090252
27387,1724626.0164324075,559131861.9328513
12335,262045.804104758,353210510.0589717
11544,268122.5620210431,56048222.42740483
11356,261655.9668603942,308434363.9016032
2676,27675.606666754647,454547875.40697396
28738,41485.98187765225,4355192161.869936
29995,862416.3093356738,232000972.53501627
20747,2056022.3167733853,95047029.92475706
13375,15618.911086948166,13902055.933375767
17986,502665.3586371235,1850893414.4948373
7885,32191.259226607457,167296160.1077264
13332,823169.2410252452,105292326.87545449
9585,41452.90809264509,79283144.83871317
6332,562763.9250135894,140011664.35543212
24429,585652.2628221636,665621898.295628
18079,37186.18143252663,843655052.7325974
5201,17255502.38933429,1725405674.7326722
747,70890.31719355861,31216140.045063794
9760,3514585.2001815913,835356518.8662915
29612,385664.6704063577,311263244.96112347
19992,214854.20676437663,77190310.1133483
23189,67653.8017606453,1890373134.4724882
25535,524686.4219108009,159653301.8992294
17963,659854.4958221212,446802602.4296579
25246,160627.61107550908,4775206385.297969
5081,6704.91058224925,230504175.16973427
9350,64459.14547831274,141892893.91742742
10982,1921239.038215691,141135747.41241956
23621,145202.88378616134,223206634.56070417
13235,51918.41073411218,313452156.1791603
19367,51026.40464497051,330549092.85310066
1190,559499.2445901427,141528905.5029736
821,1068788.6288907945,1748365284.2539482
15878,792795.3393321364,601222901.5667056
20497,513075.39893393376,4857682022.5020685
9419,25025.30744300766,346161015.2967596
28100,81174.63710641845,168480402.98441228
8892,246431.57077372164,37723754.63802631
4461,133194.1198462982,139849435.00396785
25229,314651.8427154996,156334946.5323225
29985,238777.30243074955,790469118.2549324
12606,106999.73956523846,14026494.16978953
25978,60457.064223313384,246943103.83433864
19132,1274996.7830903672,578497880.5879085
