X,Y,Дельта,Питающий канал,Оползни,Конуса прорыва,Лопасти,Распределительный канал,Контуриты
-1.5455863596239,-2.182010172017117,0.14303032,0.1435384,0.14244512,0.1436867,0.14160226,0.14350559,0.14219159
-1.5326030572633331,-2.182010172017117,0.14302616,0.14354028,0.14244954,0.14368661,0.14159785,0.14351201,0.14218752
-1.5196197549027664,-2.182010172017117,0.14302196,0.14354222,0.14245404,0.14368653,0.14159341,0.14351852,0.1421834
-1.5066364525421994,-2.182010172017117,0.14301768,0.14354414,0.14245856,0.14368643,0.1415889,0.14352508,0.1421792
-1.4936531501816326,-2.182010172017117,0.14301337,0.1435461,0.14246316,0.14368634,0.14158434,0.14353174,0.14217497
-1.4806698478210658,-2.182010172017117,0.14300902,0.14354809,0.1424678,0.14368625,0.14157972,0.14353846,0.1421707
-1.467686545460499,-2.182010172017117,0.1430046,0.14355007,0.14247248,0.14368615,0.14157505,0.14354526,0.14216636
-1.4547032430999323,-2.182010172017117,0.14300014,0.14355211,0.14247723,0.14368606,0.14157033,0.14355214,0.14216201
-1.4417199407393655,-2.182010172017117,0.14299564,0.14355417,0.14248203,0.14368597,0.14156558,0.1435591,0.14215758
-1.4287366383787987,-2.182010172017117,0.14299108,0.14355622,0.14248689,0.14368586,0.14156073,0.14356613,0.1421531
-1.415753336018232,-2.182010172017117,0.14298646,0.14355832,0.14249179,0.14368576,0.14155585,0.14357325,0.14214858
-1.402770033657665,-2.182010172017117,0.14298181,0.14356044,0.14249676,0.14368567,0.14155093,0.14358045,0.14214401
-1.3897867312970982,-2.182010172017117,0.14297728,0.14356248,0.14250155,0.14368556,0.14154613,0.14358741,0.14213957
-1.3768034289365314,-2.182010172017117,0.14297284,0.1435645,0.1425063,0.14368547,0.14154144,0.1435943,0.14213522
-1.3638201265759646,-2.182010172017117,0.14296833,0.14356656,0.14251108,0.14368537,0.14153667,0.14360124,0.14213079
-1.3508368242153979,-2.182010172017117,0.14296375,0.14356862,0.14251594,0.14368527,0.14153183,0.14360827,0.1421263
-1.337853521854831,-2.182010172017117,0.14295915,0.1435707,0.14252084,0.14368516,0.14152694,0.1436154,0.14212178
-1.3248702194942643,-2.182010172017117,0.14295448,0.14357285,0.14252584,0.14368507,0.141522,0.1436226,0.1421172
-1.3118869171336975,-2.182010172017117,0.14294975,0.143575,0.14253086,0.14368497,0.141517,0.14362991,0.14211257
-1.2989036147731308,-2.182010172017117,0.14294496,0.14357716,0.14253595,0.14368486,0.14151193,0.1436373,0.14210787
-1.2859203124125638,-2.182010172017117,0.14294012,0.14357936,0.14254111,0.14368476,0.1415068,0.14364478,0.14210312
-1.272937010051997,-2.182010172017117,0.14293522,0.1435816,0.14254633,0.14368466,0.14150162,0.14365235,0.14209832
